id,name,url,year,mkb,mkb_codes,size_bytes
231,ГИПОГОНАДИЗМ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОГОНАДИЗМ У ДЕТЕЙ.pdf,2025,,[],543394
232,ГИПОКСИЧЕСКИ-ИШЕМИЧЕСКАЯ ЭНЦЕФАЛОПАТИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОКСИЧЕСКИ-ИШЕМИЧЕСКАЯ ЭНЦЕФАЛОПАТИЯ.pdf,2025,,[],475420
233,ГИПОПАРАТИРЕОЗ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОПАРАТИРЕОЗ.pdf,2025,,[],2700896
234,ГИПОПЛАЗИЯ ЭМАЛИ ЗУБОВ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОПЛАЗИЯ ЭМАЛИ ЗУБОВ.pdf,2025,,[],459032
235,ГИПОПЛАЗИЯ ЭМАЛИ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОПЛАЗИЯ ЭМАЛИ У ДЕТЕЙ.pdf,2025,,[],286228
236,ГИПОСПАДИИ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОСПАДИИ У ДЕТЕЙ.pdf,2025,,[],444716
237,ГИПОТЕРМИЯ (ЛЕЧЕБНАЯ) НОВОРОЖДЕННОГО,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОТЕРМИЯ (ЛЕЧЕБНАЯ) НОВОРОЖДЕННОГО.pdf,2025,,[],1257820
238,ГИПОТЕРМИЯ НОВОРОЖДЕННЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОТЕРМИЯ НОВОРОЖДЕННЫХ.pdf,2025,,[],165223
239,ГИПОТИРЕОЗ У ВЗРОСЛЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОТИРЕОЗ У ВЗРОСЛЫХ.pdf,2025,,[],291314
240,ГИПОТИРЕОЗ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИПОТИРЕОЗ У ДЕТЕЙ.pdf,2025,,[],527179
241,ГИСТИОЦИТОЗ ИЗ КЛЕТОК ЛАНГЕРГАНСА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГИСТИОЦИТОЗ ИЗ КЛЕТОК ЛАНГЕРГАНСА.pdf,2025,,[],1163157
242,ГЛАУКОМА ВТОРИЧНАЯ ВСЛЕДСТВИЕ ДРУГИХ БОЛЕЗНЕЙ ГЛАЗ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГЛАУКОМА ВТОРИЧНАЯ ВСЛЕДСТВИЕ ДРУГИХ БОЛЕЗНЕЙ ГЛАЗ.pdf,2025,,[],342424
243,ГЛОССОДИНИИ (ГЛОССАЛГИИ),https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГЛОССОДИНИИ (ГЛОССАЛГИИ).pdf,2025,,[],195562
244,ГНОЙНО-ВОСПАЛИТЕЛЬНЫЕ ЗАБОЛЕВАНИЯ КИСТИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГНОЙНО-ВОСПАЛИТЕЛЬНЫЕ ЗАБОЛЕВАНИЯ КИСТИ.pdf,2025,,[],167506
245,ГНОЙНЫЙ (ПИОГЕННЫЙ) АРТРИТ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГНОЙНЫЙ (ПИОГЕННЫЙ) АРТРИТ.pdf,2025,,[],199046
246,ГНОЙНЫЙ ЭНДОФТАЛЬМИТ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГНОЙНЫЙ ЭНДОФТАЛЬМИТ.pdf,2025,,[],440968
247,ГОЛОВНЫЕ БОЛИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГОЛОВНЫЕ БОЛИ.pdf,2025,,[],653332
248,ГОНАРТРОЗ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГОНАРТРОЗ.pdf,2025,,[],148692
249,ГОНАРТРОЗ 2,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГОНАРТРОЗ 2.pdf,2025,,[],416652
250,ГОНОКОККОВАЯ ИНФЕКЦИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГОНОКОККОВАЯ ИНФЕКЦИЯ.pdf,2025,,[],663255
251,ГРЫЖИ ДИСКА ПОЯСНИЧНОГО И ДРУГИХ ОТДЕЛОВ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГРЫЖИ ДИСКА ПОЯСНИЧНОГО И ДРУГИХ ОТДЕЛОВ.pdf,2025,,[],319976
252,ГРЫЖИ ПИЩЕВОДНОГО ОТВЕРСТИЯ ДИАФРАГМЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ГРЫЖИ ПИЩЕВОДНОГО ОТВЕРСТИЯ ДИАФРАГМЫ.pdf,2025,,[],275234
253,Гаплоидентичная трансплантация костного мозга,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/Гаплоидентичная трансплантация костного мозга.pdf,2026,,[],2170367
254,"ДАКРИОАДЕНИТ, ДРУГИЕ БОЛЕЗНИ СЛЕЗНОЙ ЖЕЛЕЗЫ, ЭПИФОРА","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДАКРИОАДЕНИТ, ДРУГИЕ БОЛЕЗНИ СЛЕЗНОЙ ЖЕЛЕЗЫ, ЭПИФОРА.pdf",2025,,[],278454
255,ДВУСТОРОННЯЯ НЕЙРОСЕНСОРНАЯ ТУГОУХОСТЬ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДВУСТОРОННЯЯ НЕЙРОСЕНСОРНАЯ ТУГОУХОСТЬ.pdf,2025,,[],231656
256,ДЕГЕНЕРАТИВНЫЕ ЗАБОЛЕВАНИЯ ПОЯСНИЧНОГО ОТДЕЛА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕГЕНЕРАТИВНЫЕ ЗАБОЛЕВАНИЯ ПОЯСНИЧНОГО ОТДЕЛА.pdf,2025,,[],486789
257,ДЕГЕНЕРАТИВНЫЕ СОСТОЯНИЯ ГЛАЗНОГО ЯБЛОКА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕГЕНЕРАТИВНЫЕ СОСТОЯНИЯ ГЛАЗНОГО ЯБЛОКА.pdf,2025,,[],257813
258,ДЕМЕНЦИЯ ПРИ БОЛЕЗНИ АЛЬЦГЕЙМЕРА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕМЕНЦИЯ ПРИ БОЛЕЗНИ АЛЬЦГЕЙМЕРА.pdf,2025,,[],190375
259,ДЕПРЕССИИ БЕЗ ПСИХОТИЧЕСКИХ СИМПТОМОВ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕПРЕССИИ БЕЗ ПСИХОТИЧЕСКИХ СИМПТОМОВ.pdf,2025,,[],386276
260,ДЕПРЕССИИ С ПСИХОТИЧЕСКИМИ СИМПТОМАМИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕПРЕССИИ С ПСИХОТИЧЕСКИМИ СИМПТОМАМИ.pdf,2025,,[],399943
261,ДЕРМАТОФИТИЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕРМАТОФИТИЙ.pdf,2025,,[],819810
262,ДЕРМОИДНЫЕ КИСТЫ В ОБЛАСТИ ШЕИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕРМОИДНЫЕ КИСТЫ В ОБЛАСТИ ШЕИ.pdf,2025,,[],361409
263,ДЕФЕКТ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕФЕКТ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ.pdf,2025,,[],873341
264,ДЕФЕКТ МЕЖПРЕДСЕРДНОЙ ПЕРЕГОРОДКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕФЕКТ МЕЖПРЕДСЕРДНОЙ ПЕРЕГОРОДКИ.pdf,2025,,[],492264
265,"ДЕФЕКТЫ, УКОРАЧИВАЮЩИЕ ВЕРХНЮЮ КОНЕЧНОСТЬ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕФЕКТЫ, УКОРАЧИВАЮЩИЕ ВЕРХНЮЮ КОНЕЧНОСТЬ.pdf",2025,,[],149750
266,"ДЕФЕКТЫ, УКОРАЧИВАЮЩИЕ НИЖНЮЮ КОНЕЧНОСТЬ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕФЕКТЫ, УКОРАЧИВАЮЩИЕ НИЖНЮЮ КОНЕЧНОСТЬ.pdf",2025,,[],153364
267,ДЕФИЦИТ АЛЬФА-1-АНТИТРИПСИНА У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕФИЦИТ АЛЬФА-1-АНТИТРИПСИНА У ДЕТЕЙ.pdf,2025,,[],404699
268,ДЕФИЦИТНЫЕ АНЕМИИ У БЕРЕМЕННЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДЕФИЦИТНЫЕ АНЕМИИ У БЕРЕМЕННЫХ.pdf,2025,,[],643132
269,ДИАБЕТИЧЕСКАЯ АНГИОПАТИЯ НИЖНИХКОНЕЧНОСТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАБЕТИЧЕСКАЯ АНГИОПАТИЯ НИЖНИХКОНЕЧНОСТЕЙ.pdf,2025,,[],327829
270,ДИАБЕТИЧЕСКАЯ НЕЙРОПАТИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАБЕТИЧЕСКАЯ НЕЙРОПАТИЯ.pdf,2025,,[],686900
271,ДИАБЕТИЧЕСКАЯ НЕФРОПАТИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАБЕТИЧЕСКАЯ НЕФРОПАТИЯ.pdf,2025,,[],602878
272,ДИАБЕТИЧЕСКАЯ ФЕТОПАТИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАБЕТИЧЕСКАЯ ФЕТОПАТИЯ.pdf,2025,,[],297216
273,ДИАБЕТИЧЕСКИЕ КОМЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАБЕТИЧЕСКИЕ КОМЫ.pdf,2025,,[],427297
274,ДИАРЕЯ И ГАСТРОЭНТЕРИТ ПРЕДПОЛОЖИТЕЛЬНО,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАРЕЯ И ГАСТРОЭНТЕРИТ ПРЕДПОЛОЖИТЕЛЬНО.pdf,2025,,[],517663
275,ДИАРЕЯ У ДЕТЕЙ. ЗАТЯЖНАЯ ДИАРЕЯ.,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАРЕЯ У ДЕТЕЙ. ЗАТЯЖНАЯ ДИАРЕЯ..pdf,2025,,[],573681
276,ДИАФРАГМАЛЬНОЙ ГРЫЖИ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИАФРАГМАЛЬНОЙ ГРЫЖИ У ДЕТЕЙ.pdf,2025,,[],474831
277,ДИВЕРТИКУЛ МОЧЕВОГО ПУЗЫРЯ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИВЕРТИКУЛ МОЧЕВОГО ПУЗЫРЯ У ДЕТЕЙ.pdf,2025,,[],419681
278,ДИСМЕНОРЕЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИСМЕНОРЕЯ.pdf,2025,,[],281069
279,ДИСТАНЦИОННАЯ ЛУЧЕВАЯ ТЕРАПИЯ С ИСПОЛЬЗОВАНИЕМ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИСТАНЦИОННАЯ ЛУЧЕВАЯ ТЕРАПИЯ С ИСПОЛЬЗОВАНИЕМ.pdf,2025,,[],628570
280,ДИСТОЦИЯ ПЛЕЧИКОВ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИСТОЦИЯ ПЛЕЧИКОВ.pdf,2025,,[],940643
281,ДИСФУНКЦИЯ ЯИЧНИКОВ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИСФУНКЦИЯ ЯИЧНИКОВ.pdf,2025,,[],913673
282,ДИФТЕРИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДИФТЕРИЯ.pdf,2025,,[],646721
284,ДОБРОКАЧЕСТВЕННАЯ ВНУТРИЧЕРЕПНАЯ ГИПЕРТЕНЗИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННАЯ ВНУТРИЧЕРЕПНАЯ ГИПЕРТЕНЗИЯ.pdf,2025,,[],417351
285,ДОБРОКАЧЕСТВЕННАЯ ГИПЕРПЛАЗИЯ ПРЕДСТАТЕЛЬНОЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННАЯ ГИПЕРПЛАЗИЯ ПРЕДСТАТЕЛЬНОЙ.pdf,2025,,[],1151935
286,ДОБРОКАЧЕСТВЕННЫЕ И ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ И ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ.pdf,2025,,[],2150964
287,ДОБРОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ КОСТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ КОСТЕЙ.pdf,2025,,[],148310
288,ДОБРОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ МОЛОЧНОЙ ЖЕЛЕЗЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ МОЛОЧНОЙ ЖЕЛЕЗЫ.pdf,2025,,[],508854
289,ДОБРОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ СРЕДОСТЕНИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ СРЕДОСТЕНИЯ.pdf,2025,,[],342180
290,ДОБРОКАЧЕСТВЕННЫЕ ОДОНТОГЕННЫЕ ОПУХОЛИ ЧЕЛЮСТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ ОДОНТОГЕННЫЕ ОПУХОЛИ ЧЕЛЮСТЕЙ.pdf,2025,,[],296152
291,ДОБРОКАЧЕСТВЕННЫЕ ОПУХОЛИ ГОРТАНИ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ ОПУХОЛИ ГОРТАНИ У ДЕТЕЙ.pdf,2025,,[],784247
292,ДОБРОКАЧЕСТВЕННЫЕ ОПУХОЛИ И ОПУХОЛЕПОДОБНЫЕ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ ОПУХОЛИ И ОПУХОЛЕПОДОБНЫЕ.pdf,2025,,[],176629
293,ДОБРОКАЧЕСТВЕННЫЕ ОСТЕОГЕННЫЕ ОПУХОЛИ ЧЕЛЮСТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДОБРОКАЧЕСТВЕННЫЕ ОСТЕОГЕННЫЕ ОПУХОЛИ ЧЕЛЮСТЕЙ.pdf,2025,,[],477809
294,"ДРУГИЕ ВИДЫ АБОРТА (КРИМИНАЛЬНЫЙ АБОРТ), АБОРТ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДРУГИЕ ВИДЫ АБОРТА (КРИМИНАЛЬНЫЙ АБОРТ), АБОРТ.pdf",2025,,[],270462
295,ДРУГИЕ НЕИНФЕКЦИОННЫЕ ГАСТРОЭНТЕРИТЫ И КОЛИТЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ДРУГИЕ НЕИНФЕКЦИОННЫЕ ГАСТРОЭНТЕРИТЫ И КОЛИТЫ.pdf,2025,,[],374714
296,Доброкачественные новообразования яичников.,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/Доброкачественные новообразования яичников..pdf,2025,,[],431910
297,ЖЕЛЕЗОДЕФИЦИТНАЯ АНЕМИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЖЕЛЕЗОДЕФИЦИТНАЯ АНЕМИЯ.pdf,2025,,[],1434058
298,ЖЕЛЕЗОДЕФИЦИТНАЯ АНЕМИЯ У ДЕТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЖЕЛЕЗОДЕФИЦИТНАЯ АНЕМИЯ У ДЕТЕЙ.pdf,2025,,[],770798
299,ЖЕЛУДОЧКОВЫЕ НАРУШЕНИЯ РИТМА СЕРДЦА И ПРОФИЛАКТИКА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЖЕЛУДОЧКОВЫЕ НАРУШЕНИЯ РИТМА СЕРДЦА И ПРОФИЛАКТИКА.pdf,2025,,[],1661612
300,ЖЕНСКОЕ БЕСПЛОДИЕ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЖЕНСКОЕ БЕСПЛОДИЕ.pdf,2025,,[],739430
301,ЗАБОЛЕВАНИЯ БЕЛОГО ВЕЩЕСТВА ГОЛОВНОГО МОЗГА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАБОЛЕВАНИЯ БЕЛОГО ВЕЩЕСТВА ГОЛОВНОГО МОЗГА.pdf,2025,,[],531429
302,ЗАБОЛЕВАНИЯ ЖЕЛУДОЧНО-КИШЕЧНОГО ТРАКТА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАБОЛЕВАНИЯ ЖЕЛУДОЧНО-КИШЕЧНОГО ТРАКТА.pdf,2025,,[],451505
303,ЗАБОЛЕВАНИЯ МОЧЕПОЛОВОЙ СИСТЕМЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАБОЛЕВАНИЯ МОЧЕПОЛОВОЙ СИСТЕМЫ.pdf,2025,,[],296380
304,ЗАБОЛЕВАНИЯ СПЕКТРА ОПТИКОНЕВРОМИЕЛИТА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАБОЛЕВАНИЯ СПЕКТРА ОПТИКОНЕВРОМИЕЛИТА.pdf,2025,,[],533467
305,ЗАДЕРЖКА ПСИХОРЕЧЕВОГО РАЗВИТИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАДЕРЖКА ПСИХОРЕЧЕВОГО РАЗВИТИЯ.pdf,2025,,[],140281
306,ЗАИКАНИЯ (ЗАПИНАНИЯ),https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАИКАНИЯ (ЗАПИНАНИЯ).pdf,2025,,[],217574
307,ЗАКРЫТАЯ ТОРАКАЛЬНАЯ ТРАВМА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАКРЫТАЯ ТОРАКАЛЬНАЯ ТРАВМА.pdf,2025,,[],973440
308,ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ ГОЛЕНОСТОПНОГО СУСТАВА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ ГОЛЕНОСТОПНОГО СУСТАВА.pdf,2025,,[],190025
309,ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ КОЛЕННОГО СУСТАВА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ КОЛЕННОГО СУСТАВА.pdf,2025,,[],189225
310,ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ ЛОКТЕВОГО СУСТАВА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ ЛОКТЕВОГО СУСТАВА.pdf,2025,,[],184416
311,ЗАМЕЩЕНИЕ КОСТНЫХ ДЕФЕКТОВ ДЛИННЫХ КОСТЕЙ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАМЕЩЕНИЕ КОСТНЫХ ДЕФЕКТОВ ДЛИННЫХ КОСТЕЙ.pdf,2025,,[],298130
312,ЗАМЕЩЕНИЕ КОСТНЫХ ДЕФЕКТОВ ДЛИННЫХ КОСТЕЙ (2),https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗАМЕЩЕНИЕ КОСТНЫХ ДЕФЕКТОВ ДЛИННЫХ КОСТЕЙ (2).pdf,2025,,[],333151
313,ЗЛОКАЧЕСТВЕННОЕ НОВООБРАЗОВАНИЕ ЯИЧКА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННОЕ НОВООБРАЗОВАНИЕ ЯИЧКА.pdf,2025,,[],1261512
314,ЗЛОКАЧЕСТВЕННЫЕ НЕОПЛАЗИИ ТЕЛА МАТКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НЕОПЛАЗИИ ТЕЛА МАТКИ.pdf,2025,,[],451869
315,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ГЛАЗНИЦЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ГЛАЗНИЦЫ.pdf,2025,,[],741009
316,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ГОРТАНИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ГОРТАНИ.pdf,2025,,[],1194428
317,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ГОРТАНОГЛОТКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ГОРТАНОГЛОТКИ.pdf,2025,,[],663038
318,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ПОЛОСТИ РТА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ПОЛОСТИ РТА.pdf,2025,,[],1070828
319,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ПРЯМОЙ КИШКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ПРЯМОЙ КИШКИ.pdf,2025,,[],641281
320,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ПРЯМОЙ КИШКИ (2),https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ПРЯМОЙ КИШКИ (2).pdf,2025,,[],641281
321,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ РОТОГЛОТКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ РОТОГЛОТКИ.pdf,2025,,[],936253
322,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ СЛЮННЫХ ЖЕЛЕЗ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ СЛЮННЫХ ЖЕЛЕЗ.pdf,2025,,[],846302
323,ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ЩИТОВИДНОЙ ЖЕЛЕЗЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ ЩИТОВИДНОЙ ЖЕЛЕЗЫ.pdf,2025,,[],487977
324,ЗЛОКАЧЕСТВЕННЫЕ ОПУХОЛИ ПОЛОСТИ НОСА И ПРИДАТОЧНЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ ОПУХОЛИ ПОЛОСТИ НОСА И ПРИДАТОЧНЫХ.pdf,2025,,[],1052540
325,ЗЛОКАЧЕСТВЕННЫЕ ТРОФОБЛАСТИЧЕСКИЕ НЕОПЛАЗИИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫЕ ТРОФОБЛАСТИЧЕСКИЕ НЕОПЛАЗИИ.pdf,2025,,[],401953
326,ЗЛОКАЧЕСТВЕННЫХ НОВООБРАЗОВАНИЙ НОСОГЛОТКИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОКАЧЕСТВЕННЫХ НОВООБРАЗОВАНИЙ НОСОГЛОТКИ.pdf,2025,,[],1031757
327,"ЗЛОУПОТРЕБЛЕНИЕ ВЕЩЕСТВАМИ, НЕ ВЫЗЫВАЮЩИМИ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ЗЛОУПОТРЕБЛЕНИЕ ВЕЩЕСТВАМИ, НЕ ВЫЗЫВАЮЩИМИ.pdf",2025,,[],743915
328,ИБС. СТАБИЛЬНАЯ СТЕНОКАРДИЯ НАПРЯЖЕНИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ИБС. СТАБИЛЬНАЯ СТЕНОКАРДИЯ НАПРЯЖЕНИЯ.pdf,2025,,[],740669
329,ИДИОПАТИЧЕСКИЕ ВОСПАЛИТЕЛЬНЫЕ МИОПАТИИ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/ИДИОПАТИЧЕСКИЕ ВОСПАЛИТЕЛЬНЫЕ МИОПАТИИ.pdf,2025,,[],407567
